Timestamp,UniqueID,HeadSet,How many Headsets have you tried thus far?,"In the computer generated world I had a sense of ""being there""",Somehow I felt that the virtual world surrounded me.,I felt like I was just perceiving pictures.,(-) I did not feel present in the virtual space.,"I had a sense of acting in the virtual space, rather than operating something outside in real world.",I felt present in the virtual space.,"How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds, room temperature, other people, etc.)? ",I was not aware of my real environment.,I still paid attention to the real environment.,How real did the virtual world seem to you?,How much did your experience in the virtual environment seem consistent with your real world experience ?,The virtual world seemed more realistic than the real world.,Gender
2/25/2025 13:01,0,HTC,1,3,4,2,1,4,3,2,2,4,3,3,2,Male
2/25/2025 13:24,0,Oculus,2,4,4,2,2,2,4,4,1,3,4,2,1,Male
2/25/2025 13:41,0,HP,3,2,3,3,4,2,4,4,1,4,4,2,2,Male
3/3/2025 13:00,1,HTC,1,4,4,3,4,3,4,3,1,3,3,3,1,Male
3/3/2025 13:18,1,HP,3,3,3,4,4,4,4,4,2,4,3,2,1,Male
3/3/2025 13:32,1,Oculus,2,2,2,4,4,4,4,4,2,4,2,2,2,Male
3/4/2025 14:42,2,Oculus,1,3,4,3,4,4,4,4,2,3,2,2,1,Male
3/4/2025 15:05,2,HTC,2,4,4,3,4,4,4,1,4,1,3,3,2,Male
3/4/2025 15:22,2,HP,3,2,2,2,2,3,2,2,2,2,3,3,1,Male
3/5/2025 12:10,3,HP,1,2,2,3,2,3,2,2,1,2,3,2,2,Male
3/5/2025 12:32,3,Oculus,2,5,4,5,2,5,5,2,2,3,5,4,4,Male
3/5/2025 12:52,3,HTC,3,4,3,3,3,4,4,1,2,3,3,3,3,Male
2/27/2025 10:43,4,Oculus,1,2,2,4,4,3,2,3,2,4,2,4,1,Male
2/27/2025 10:48,4,HP,2,4,4,2,2,4,4,2,4,3,4,3,2,Male
2/27/2025 11:09,4,HTC,3,3,3,3,3,4,3,4,2,4,2,2,1,Male
3/6/2025 18:15,5,Oculus,1,3,4,3,3,3,4,3,2,3,3,4,2,Male
3/6/2025 18:32,5,HP,2,4,4,4,4,3,3,2,4,3,3,4,3,Male
3/6/2025 18:55,5,HTC,3,2,2,2,3,2,3,4,2,4,2,3,2,Male
3/6/2025 19:39,6,HTC,1,3,4,4,5,1,1,4,1,4,3,3,2,Male
3/6/2025 19:56,6,HP,2,2,3,4,1,1,1,5,1,4,2,1,1,Male
3/6/2025 20:15,6,Oculus,3,2,2,4,1,1,1,5,1,4,1,1,1,Male
3/7/2025 14:33,7,HP,1,3,3,4,3,3,2,3,2,4,3,2,2,Male
3/7/2025 14:54,7,HTC,2,3,3,2,2,3,3,4,2,4,3,2,1,Male
3/7/2025 15:11,7,Oculus,3,4,4,2,2,2,4,4,2,4,4,4,3,Male
