Timestamp,UniqueID,HeadSet,How many Headsets have you tried thus far?,"In the computer generated world I had a sense of ""being there""",Somehow I felt that the virtual world surrounded me.,I felt like I was just perceiving pictures.,(-) I did not feel present in the virtual space.,"I had a sense of acting in the virtual space, rather than operating something outside in real world.",I felt present in the virtual space.,"How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds, room temperature, other people, etc.)? ",I was not aware of my real environment.,I still paid attention to the real environment.,I still paid attention to the real environment.,How real did the virtual world seem to you?,How much did your experience in the virtual environment seem consistent with your real world experience ?,How real did the virtual world seem to you?,The virtual world seemed more realistic than the real world.,The system responded well to my manipulations as expected with no delays.  ,I think this virtual reality system provides clear feedback on my manipulations.    ,(-) I kept making errors/mistakes while using the virtual reality system.,I could clearly understand the information presented within the virtual environment.   ,"I think this system is user-friendly, straightforward to learn, and designed in such a way that most people will find it easy to adapt to.",I think it is easy to correct errors made during virtual reality experiences.   ,I enjoyed the virtual reality experience.  ,"(-) I felt dizzy, motion sickness, or a headache while experiencing virtual reality.    ","(-) While experiencing virtual reality, I felt mental burdens such as tension, frustration, and time pressure. ",General discomfort (physical),  Fatigue  ,Headache  ,Eyestrain  ,Difficulty focusing   ,Increased salivation  ,Sweating ,Nausea ,Difficulty concentrating ,Fullness of head ,Blurred vision ,Dizzy (eyes open) ,Dizzy (eyes closed) ,Vertigo (A sense of spinning experienced even when someone is perfectly still.),Stomach awareness (a feeling of discomfort that is just short of nausea.),Burping ,Did you experience pain,"If so, how uncomfortable was the pain","If you experienced pain, ache, discomfort, did this interfere with your ability to work?",Did you experience pain,"If so, how uncomfortable was the pain","If you experienced pain, ache, discomfort, did this interfere with your ability to work?"
2/25/2025 13:01,0,HTC,1,3,4,2,1,4,3,2,2,4,4,3,3,3,2,Disagree,Agree,Agree,Neutral,Strongly Agree,Strongly agree,Agree,Strongly Agree,Neutral,0,0,0,2,1,0,0,1,0,1,1,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
2/25/2025 13:24,0,Oculus,2,4,4,2,2,2,4,4,1,3,3,4,2,3,1,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
2/25/2025 13:41,0,HP,3,2,3,3,4,2,4,4,1,4,4,4,2,2,2,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,1,2,0,0,1,1,0,0,1,0,1,1,1,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/3/2025 13:00,1,HTC,1,4,4,3,4,3,4,3,1,3,3,3,3,4,1,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/3/2025 13:18,1,HP,3,3,3,4,4,4,4,4,2,4,4,3,2,3,1,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Agree,Strongly Disagree,Strongly Disagree,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/3/2025 13:32,1,Oculus,2,2,2,4,4,4,4,4,2,4,4,2,2,3,2,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly agree,Agree,Strongly Disagree,Strongly Disagree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/4/2025 14:42,2,Oculus,1,3,4,3,4,4,4,4,2,3,3,2,2,3,1,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/4/2025 15:05,2,HTC,2,4,4,3,4,4,4,1,4,1,1,3,3,2,2,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,2,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/4/2025 15:22,2,HP,3,2,2,2,2,3,2,2,2,2,2,3,3,2,1,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,3,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/5/2025 12:10,3,HP,1,2,2,3,2,3,2,2,1,2,2,3,2,2,2,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,1,1,0,1,2,1,0,0,1,1,2,1,1,2,1,0,Yes,Slightly Uncomfortable,Substantially Interfered,Yes,Slightly Uncomfortable,Slightly Interfered
3/5/2025 12:32,3,Oculus,2,5,4,5,2,5,5,2,2,3,2,5,4,2,4,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Agree,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,No,,,No,,
3/5/2025 12:52,3,HTC,3,4,3,3,3,4,4,1,2,3,3,3,3,3,3,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,2,2,2,2,1,1,0,2,1,2,2,2,1,2,1,1,Yes,Moderately Uncomfortable,Slightly Interfered,Yes,Moderately Uncomfortable,Slightly Interfered
2/27/2025 10:43,4,Oculus,1,2,2,4,4,3,2,3,2,4,4,2,4,2,1,Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Disagree,Strongly Disagree,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
2/27/2025 10:48,4,HP,2,4,4,2,2,4,4,2,4,3,3,4,3,4,2,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Disagree,Disagree,1,1,0,2,1,0,0,0,0,1,2,0,0,0,0,0,Yes,Slightly Uncomfortable,Not at all,No,Not Applicable,Not Applicable
2/27/2025 11:09,4,HTC,3,3,3,3,3,4,3,4,2,4,4,2,2,2,1,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,,Disagree,1,1,0,1,2,0,0,0,2,1,2,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
