Timestamp,UniqueID,HeadSet,The system responded well to my manipulations as expected with no delays.  ,I think this virtual reality system provides clear feedback on my manipulations.    ,(-) I kept making errors/mistakes while using the virtual reality system.,I could clearly understand the information presented within the virtual environment.   ,"I think this system is user-friendly, straightforward to learn, and designed in such a way that most people will find it easy to adapt to.",I think it is easy to correct errors made during virtual reality experiences.   ,I enjoyed the virtual reality experience.  ,"(-) I felt dizzy, motion sickness, or a headache while experiencing virtual reality.    ","(-) While experiencing virtual reality, I felt mental burdens such as tension, frustration, and time pressure. ",Gender
2/25/2025 13:01,0,HTC,Disagree,Agree,Agree,Neutral,Strongly Agree,Strongly agree,Agree,Strongly Agree,Neutral,Male
2/25/2025 13:24,0,Oculus,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Male
2/25/2025 13:41,0,HP,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Male
3/3/2025 13:00,1,HTC,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Male
3/3/2025 13:18,1,HP,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Agree,Strongly Disagree,Strongly Disagree,Male
3/3/2025 13:32,1,Oculus,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly agree,Agree,Strongly Disagree,Strongly Disagree,Male
3/4/2025 14:42,2,Oculus,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Male
3/4/2025 15:05,2,HTC,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Male
3/4/2025 15:22,2,HP,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Male
3/5/2025 12:10,3,HP,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Male
3/5/2025 12:32,3,Oculus,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Agree,Male
3/5/2025 12:52,3,HTC,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Male
2/27/2025 10:43,4,Oculus,Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Disagree,Strongly Disagree,Male
2/27/2025 10:48,4,HP,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Male
2/27/2025 11:09,4,HTC,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,,Disagree,Male
3/6/2025 18:15,5,Oculus,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Strongly Agree,Agree,Male
3/6/2025 18:32,5,HP,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Neutral,Male
3/6/2025 18:55,5,HTC,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Male
3/6/2025 19:39,6,HTC,Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Male
3/6/2025 19:56,6,HP,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Male
3/6/2025 20:15,6,Oculus,Strongly Agree,Agree,Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Male
3/7/2025 14:33,7,HP,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Disagree,Strongly Agree,Male
3/7/2025 14:54,7,HTC,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Male
