participant_id,unique_id,headset,headsets_tried_before,ipq1_being_there,ipq2_surrounded,ipq3_just_pictures,ipq4_not_present,ipq5_acting,ipq6_felt_present,how_real_1,consistent_experience,how_real_2,vrsuq_1,vrsuq_2,vrsuq_3,vrsuq_4,vrsuq_5,vrsuq_6,vrsuq_7,vrsuq_8,vrsuq_9,sickness_general_discomfort_physical,sickness_fatigue,sickness_headache,sickness_eyestrain,sickness_difficulty_focusing,sickness_increased_salivation,sickness_sweating,sickness_nausea,sickness_difficulty_concentrating,sickness_fullness_of_head,sickness_blurred_vision,sickness_dizzy_eyes_open,sickness_dizzy_eyes_closed,sickness_vertigo_a_sense_of_spinning_experienced_even_when_someone_is_perfectly_still,sickness_stomach_awareness_a_feeling_of_discomfort_that_is_just_short_of_nausea,sickness_burping,ipq_general_presence,ipq_spatial_presence,ipq_realism,vrsuq_usability,simulator_sickness_total,experience_group
1,0,HTC,1,3,4,2,1,4,3.0,3,3,3,2,4,2,3,5,5.0,4,1.0,3,0,0,0,2,1,0,0,1,0,1,1,0,0,0,0,0,3.3333333333333335,4.0,3.0,3.2222222222222223,6,novice
1,0,Oculus,2,4,4,2,2,2,4.0,4,2,4,4,4,4,4,4,4.0,4,5.0,5,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,4.0,3.0,3.3333333333333335,4.222222222222222,5,intermediate
1,0,HP,3,2,3,3,4,2,4.0,4,2,4,2,2,2,4,2,4.0,4,5.0,2,1,2,0,0,1,1,0,0,1,0,1,1,1,0,0,0,3.0,2.5,3.3333333333333335,3.0,9,experienced
1,1,HTC,1,4,4,3,4,3,4.0,3,3,3,4,4,1,5,5,4.0,4,1.0,5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.0,3.5,3.0,3.6666666666666665,3,novice
1,1,HP,3,3,3,4,4,4,4.0,3,2,3,4,4,1,5,5,5.0,4,5.0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.3333333333333335,3.5,2.6666666666666665,4.222222222222222,1,experienced
1,1,Oculus,2,2,2,4,4,4,4.0,2,2,2,4,4,5,4,4,5.0,4,5.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6666666666666665,3.0,2.0,4.444444444444445,0,intermediate
2,2,Oculus,1,3,4,3,4,4,4.0,2,2,2,4,3,4,4,3,3.0,4,3.0,4,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,3.6666666666666665,4.0,2.0,3.5555555555555554,4,novice
2,2,HTC,2,4,4,3,4,4,4.0,3,3,3,2,2,2,3,2,2.0,3,3.0,3,2,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,4.0,4.0,3.0,2.4444444444444446,7,intermediate
2,2,HP,3,2,2,2,2,3,2.0,3,3,3,3,3,3,3,2,3.0,3,3.0,2,3,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,2.0,2.5,3.0,2.7777777777777777,9,experienced
3,3,HP,1,2,2,3,2,3,2.0,3,2,3,2,3,3,3,4,4.0,4,2.0,2,1,1,0,1,2,1,0,0,1,1,2,1,1,2,1,0,2.0,2.5,2.6666666666666665,3.0,15,novice
3,3,Oculus,2,5,4,5,2,5,5.0,5,4,5,5,5,5,5,5,5.0,5,5.0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,4.666666666666667,4.5,4.666666666666667,4.555555555555555,6,intermediate
3,3,HTC,3,4,3,3,3,4,4.0,3,3,3,4,4,4,4,4,4.0,4,2.0,2,2,2,2,2,1,1,0,2,1,2,2,2,1,2,1,1,3.6666666666666665,3.5,3.0,3.5555555555555554,24,experienced
4,4,Oculus,1,2,2,4,4,3,2.0,2,4,2,4,3,4,4,4,3.0,4,4.0,5,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2.0,2.5,2.6666666666666665,3.888888888888889,4,novice
4,4,HP,2,4,4,2,2,4,4.0,4,3,4,2,3,4,4,4,3.0,4,4.0,4,1,1,0,2,1,0,0,0,0,1,2,0,0,0,0,0,4.0,4.0,3.6666666666666665,3.5555555555555554,8,intermediate
4,4,HTC,3,3,3,3,3,4,3.0,2,2,2,2,2,2,3,3,4.0,3,,4,1,1,0,1,2,0,0,0,2,1,2,0,0,0,0,0,3.0,3.5,2.0,2.875,10,experienced
4,5,Oculus,1,3,4,3,3,3,4.0,3,4,3,4,4,3,2,3,4.0,4,1.0,2,1,2,2,1,1,1,0,1,1,0,2,1,0,1,0,0,3.6666666666666665,3.5,3.3333333333333335,3.0,14,novice
4,5,HP,2,4,4,4,4,3,3.0,3,4,3,4,4,3,2,4,4.0,4,3.0,3,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,3.6666666666666665,3.5,3.3333333333333335,3.4444444444444446,6,intermediate
4,5,HTC,3,2,2,2,3,2,3.0,2,3,2,2,3,3,4,4,4.0,3,2.0,2,2,2,1,1,2,1,0,1,2,1,2,1,0,1,0,1,2.3333333333333335,2.0,2.3333333333333335,3.0,18,experienced
5,6,HTC,1,3,4,4,5,1,1.0,3,3,3,4,3,2,3,4,4.0,1,5.0,1,2,2,2,3,2,3,2,3,2,3,1,1,1,3,0,0,2.6666666666666665,2.5,3.0,3.0,30,novice
5,6,HP,2,2,3,4,1,1,1.0,2,1,2,3,3,3,1,1,2.0,1,5.0,1,2,3,2,3,3,3,2,3,3,3,2,3,2,3,3,2,2.0,2.0,1.6666666666666667,2.2222222222222223,42,intermediate
5,6,Oculus,3,2,2,4,1,1,1.0,1,1,1,5,4,4,3,2,2.0,1,1.0,1,2,3,3,3,3,3,2,3,3,3,2,2,2,3,2,2,1.6666666666666667,1.5,1.0,2.5555555555555554,41,experienced
6,7,HP,1,3,3,4,3,3,2.0,3,2,3,3,3,2,4,4,4.0,3,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.6666666666666665,3.0,2.6666666666666665,3.111111111111111,2,novice
6,7,HTC,2,3,3,2,2,3,3.0,3,2,3,4,3,4,2,3,4.0,2,4.0,4,1,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,3.0,3.0,2.6666666666666665,3.3333333333333335,6,intermediate
6,7,Oculus,3,4,4,2,2,2,4.0,4,4,4,5,5,4,4,5,4.0,5,5.0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.0,4.0,4.555555555555555,2,experienced
7,8,HP,1,4,5,3,2,5,5.0,4,3,4,4,4,3,5,5,5.0,5,4.0,4,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,4.666666666666667,5.0,3.6666666666666665,4.333333333333333,5,novice
7,8,HTC,2,4,5,2,2,4,5.0,4,4,4,4,4,3,4,4,5.0,4,4.0,5,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,4.666666666666667,4.5,4.0,4.111111111111111,4,intermediate
7,8,Oculus,3,5,5,2,2,4,4.0,4,4,4,4,4,3,4,4,5.0,5,4.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.666666666666667,4.5,4.0,4.111111111111111,0,experienced
